ID,Horas Trabajadas,Ventas Realizadas
1,54.96714153011233,48.0
2,48.61735698828815,47.0
3,56.47688538100692,55.0
4,65.23029856408026,61.0
5,47.658466252766644,47.0
6,47.6586304305082,50.0
7,65.79212815507391,75.0
8,57.67434729152909,59.0
9,45.30525614065048,47.0
10,55.42560043585965,55.0
11,45.365823071875376,36.0
12,45.34270246429743,45.0
13,52.41962271566034,53.0
14,30.86719755342202,43.0
15,32.75082167486967,32.0
16,44.377124707590276,46.0
17,39.87168879665576,40.0
18,53.142473325952736,47.0
19,40.91975924478789,47.0
20,35.87696298664709,40.0
21,64.65648768921554,69.0
22,47.74223699513465,43.0
23,50.67528204687924,58.0
24,35.75251813786543,29.0
25,44.556172754748175,47.0
26,51.10922589709866,62.0
27,38.49006422577697,34.0
28,53.75698018345672,51.0
29,43.99361310081195,44.0
30,47.083062502067236,45.0
31,43.98293387770603,36.0
32,68.52278184508938,69.0
33,49.86502775262066,45.0
34,39.422890710441,42.0
35,58.22544912103189,54.0
36,37.791563500289776,46.0
37,52.08863595004755,48.0
38,30.403298761202244,29.0
39,36.71813951101569,41.0
40,51.96861235869123,46.0
41,57.38466579995411,59.0
42,51.7136828118997,58.0
43,48.843517176117594,41.0
44,46.98896304410711,48.0
45,35.214780096325725,37.0
46,42.801557916052914,47.0
47,45.393612290402125,39.0
48,60.57122226218916,54.0
49,53.43618289568462,56.0
50,32.36959844637266,34.0
51,53.24083969394795,54.0
52,46.149177195836835,48.0
53,43.23077999694041,40.0
54,56.11676288840868,57.0
55,60.30999522495951,62.0
56,59.31280119116199,56.0
57,41.607824767773614,51.0
58,46.907876241487855,49.0
59,53.31263431403564,47.0
60,59.75545127122359,63.0
61,45.2082576215471,40.0
62,48.14341023336183,52.0
63,38.93665025993972,45.0
64,38.037933759193294,34.0
65,58.125258223941984,63.0
66,63.56240028570823,66.0
67,49.27989878419666,53.0
68,60.03532897892024,70.0
69,53.61636025047634,52.0
70,43.54880245394876,40.0
71,53.61395605508414,49.0
72,65.38036566465969,61.0
73,49.64173960890049,49.0
74,65.64643655814007,67.0
75,23.802548959102555,25.0
76,58.21902504375224,62.0
77,50.870470682381715,51.0
78,47.00992649534132,54.0
79,50.91760776535502,50.0
80,30.124310853991073,44.0
81,47.80328112162488,51.0
82,53.57112571511746,49.0
83,64.77894044741517,59.0
84,44.81729781726352,47.0
85,41.91506397106812,41.0
86,44.982429564154636,49.0
87,59.15402117702074,62.0
88,53.287511096596845,53.0
89,44.70239796232961,40.0
90,55.13267433113356,48.0
91,50.9707754934804,49.0
92,59.68644990532889,64.0
93,42.979469061226474,44.0
94,46.723378534022316,40.0
95,46.078918468678424,47.0
96,35.364850518678814,37.0
97,52.96120277064576,49.0
98,52.610552721798896,53.0
99,50.05113456642461,50.0
100,47.654128666248525,42.0
